Data,Iprec
71.42,0
71.46,0
71.5,0
71.54,0
71.58,0
71.63,0
71.67,0
71.71,0
71.75,0
71.79,0.2
71.83,0.4
71.88,1.6
71.92,1.2
71.96,1
72,0.6
72.04,0.6
72.08,0.4
72.13,1
72.17,1.2
72.21,1
72.25,1.6
72.29,1.4
72.33,1.2
72.38,0.6
72.42,0.6
72.46,0.6
72.5,0.8
72.54,1
72.58,0.4
72.63,0.6
72.67,1.4
72.71,1.6
72.75,0.4
72.79,0
72.83,0
72.88,0
72.92,0
72.96,0
73,0
73.04,0.2
73.08,0
73.13,0
73.17,0
73.21,0
73.25,0
73.29,0
73.33,0
73.38,0
73.42,0
73.46,0
73.5,0
73.54,0
73.58,0
73.63,0
73.67,0
73.71,0
73.75,0
73.79,0
73.83,0
73.88,0
73.92,0
73.96,0
74,0
74.04,0
74.08,0
74.13,0
74.17,0
74.21,0
74.25,0
74.29,0
74.33,0
74.38,0
74.42,0
74.46,0
74.5,0
74.54,0
74.58,0
74.63,0
74.67,0
74.71,0
74.75,0
74.79,0
74.83,0.2
74.88,0.8
74.92,0
74.96,0.4
75,0.2
75.04,0
75.08,0
75.13,0
75.17,0
75.21,0
75.25,0.6
75.29,0
75.33,0
75.38,0
75.42,0
75.46,0
75.5,0.2
75.54,0.2
75.58,0
75.63,0
75.67,0
75.71,0
75.75,0
75.79,0
75.83,0
75.88,0
75.92,0
75.96,0
76,0
76.04,0.2
76.08,0
76.13,0
76.17,0.2
76.21,0.2
76.25,0
76.29,0
76.33,0
76.38,0
76.42,0.2
76.46,0
76.5,0
76.54,0
76.58,0
76.63,0
76.67,0
76.71,0
76.75,0
76.79,0
76.83,0
76.88,0
76.92,0
76.96,0
77,0
77.04,0
77.08,0
77.13,0
77.17,0
77.21,0
77.25,0
77.29,0
77.33,0
77.38,0
77.42,0
77.46,0
77.5,0
77.54,0
77.58,0
77.63,0
77.67,0
77.71,0
77.75,0
77.79,0
77.83,0
77.88,0
77.92,0
77.96,0
78,0
78.04,0
78.08,0
78.13,0
78.17,0
78.21,0
78.25,0
78.29,0
78.33,0
78.38,0
78.42,0
78.46,0
78.5,0
78.54,0
78.58,0
78.63,0
78.67,0
78.71,0
78.75,0
78.79,0
78.83,0
78.88,0
78.92,0
78.96,0
79,0
79.04,0
79.08,0
79.13,0
79.17,0
79.21,0
79.25,0
79.29,0
79.33,0
79.38,0
79.42,0
79.46,0
79.5,0
79.54,0
79.58,0
79.63,0
79.67,0
79.71,0
79.75,0
79.79,0
79.83,0
79.88,0
79.92,0
79.96,0
80,0
80.04,0
80.08,0
80.13,0
80.17,0
80.21,0.6
80.25,0.4
80.29,0
80.33,0
80.38,0
80.42,0
80.46,0
80.5,0
80.54,0
80.58,0
80.63,0
80.67,0
80.71,0
80.75,0
80.79,0
80.83,0
80.88,0
80.92,0
80.96,0
81,0
81.04,0
81.08,0
81.13,0
81.17,0
81.21,0
81.25,0
81.29,0
81.33,0
81.38,0
81.42,0
81.46,0
81.5,0
81.54,0
81.58,0
81.63,0
81.67,0
81.71,0
81.75,0
81.79,0
81.83,0
81.88,0
81.92,0
81.96,0
82,0
82.04,0
82.08,0
82.13,0
82.17,0
82.21,0
82.25,0
82.29,0
82.33,0
82.38,0
82.42,0
82.46,0.2
82.5,0
82.54,0.4
82.58,0.2
82.63,0.8
82.67,0.6
82.71,0.6
82.75,0
82.79,0.2
82.83,0.4
82.88,0.2
82.92,0
82.96,0.4
83,0.4
83.04,0.2
83.08,0.2
83.13,0
83.17,0.6
83.21,0.6
83.25,1.6
83.29,1.6
83.33,1
83.38,1.2
83.42,1.2
83.46,0.2
83.5,0
83.54,0
83.58,0
83.63,0
83.67,0
83.71,0.2
83.75,0.4
83.79,0
83.83,0.6
83.88,0.4
83.92,0.4
83.96,0
84,0
84.04,0
84.08,0
84.13,0
84.17,0
84.21,0
84.25,0
84.29,0
84.33,0
84.38,0
84.42,0
84.46,0
84.5,0
84.54,1
84.58,0
84.63,0.2
84.67,1
84.71,0.8
84.75,0
84.79,3
84.83,0
84.88,0.2
84.92,0.4
84.96,0.4
85,0
85.04,0
85.08,0
85.13,0
85.17,0
85.21,0
85.25,0.2
85.29,0
85.33,0
85.38,0.2
85.42,0.6
85.46,2.2
85.5,1.4
85.54,1
85.58,2.8
85.63,4.4
85.67,2
85.71,1
85.75,1.8
85.79,1
85.83,1.2
85.88,0.4
85.92,1.4
85.96,0.2
86,0.4
86.04,0.2
86.08,0
86.13,0
86.17,0
86.21,0.2
86.25,0.2
86.29,0
86.33,0.2
86.38,0
86.42,0
86.46,0
86.5,0
86.54,0.2
86.58,0.2
86.63,1.8
86.67,1.8
86.71,0.2
86.75,0
86.79,0
86.83,0.6
86.88,0.6
86.92,1.2
86.96,0.2
87,0.2
87.04,0
87.08,0
87.13,0.4
87.17,1
87.21,0.8
87.25,1
87.29,1
87.33,1
87.38,0.6
87.42,0.6
87.46,0.2
87.5,0
87.54,0.2
87.58,0.4
87.63,0
87.67,0
87.71,0
87.75,0
87.79,0
87.83,0
87.88,0
87.92,0
87.96,0
88,0
88.04,0
88.08,0
88.13,0
88.17,0
88.21,0
88.25,0
88.29,0
88.33,0
88.38,0
88.42,0
88.46,0
88.5,0
88.54,0
88.58,0
88.63,0
88.67,0.6
88.71,0.2
88.75,2.6
88.79,4.8
88.83,2.8
88.88,0.8
88.92,0
88.96,0
89,0
89.04,0
89.08,0
89.13,0.4
89.17,0.2
89.21,0.2
89.25,0
89.29,0.4
89.33,0
89.38,0
89.42,0.6
89.46,0.2
89.5,0
89.54,1.4
89.58,0.6
89.63,0.6
89.67,2.6
89.71,2.4
89.75,1.8
89.79,0
89.83,0.6
89.88,0.6
89.92,0
89.96,0
90,0
90.04,0
90.08,0
90.13,0
90.17,0
90.21,0
90.25,0
90.29,0.2
90.33,5.6
90.38,0.4
90.42,2.2
90.46,0.2
90.5,1.2
90.54,0.2
90.58,0.2
90.63,0
90.67,0
90.71,0.4
